Manual	Chip	FamilyUsersGuide	VccPgmMin	VccPgmMax	fFtgMin	fFtgMax	tWord	tCMErase	tBlock0	tBlockI	tBlockN	tMassErase	tSegErase	fTck2_2V	fTck3V	fSbw	fSbwEn	fSbwRet
SLASE54D	MSP430FR5992	SLAU367												16	16	10	110	15
SLASE54D	MSP430FR5994	SLAU367												16	16	10	110	15
SLASE54D	MSP430FR59941	SLAU367												16	16	10	110	15
SLASE66C	MSP430FR5870	SLAU367												16	16	10	110	15
SLASE66C	MSP430FR5872	SLAU367												16	16	10	110	15
SLASE66C	MSP430FR58721	SLAU367												16	16	10	110	15
SLASE66C	MSP430FR5922	SLAU367												16	16	10	110	15
SLASE66C	MSP430FR59221	SLAU367												16	16	10	110	15
SLASE66C	MSP430FR5970	SLAU367												16	16	10	110	15
SLASE66C	MSP430FR5972	SLAU367												16	16	10	110	15
SLASE66C	MSP430FR59721	SLAU367												16	16	10	110	15
SLASEB7D	MSP430FR6035	SLAU367												16	16	10	110	15
SLASEB7D	MSP430FR6037	SLAU367												16	16	10	110	15
SLASEB7D	MSP430FR60371	SLAU367												16	16	10	110	15
SLASEB7D	MSP430FR6045	SLAU367												16	16	10	110	15
SLASEB7D	MSP430FR6047	SLAU367												16	16	10	110	15
SLASEB7D	MSP430FR60471	SLAU367												16	16	10	110	15
SLASEF5B	MSP430FR5041	SLAU367												16	16	10	110	15
SLASEF5B	MSP430FR5043	SLAU367												16	16	10	110	15
SLASEF5B	MSP430FR50431	SLAU367												16	16	10	110	15
SLASEF5B	MSP430FR6041	SLAU367												16	16	10	110	15
SLASEF5B	MSP430FR6043	SLAU367												16	16	10	110	15
SLASEF5B	MSP430FR60431	SLAU367												16	16	10	110	15
SLASEV3A	MSP430FR6005	SLAU367												16	16	10	110	15
SLASEV3A	MSP430FR6007	SLAU367												16	16	10	110	15
SLAS241I	MSP430C1101	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS241I	MSP430C1111	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS241I	MSP430C1121	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS241I	MSP430F1101A	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS241I	MSP430F1111A	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS241I	MSP430F1121A	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
SLAS256D	MSP430F110	SLAU049	2.7	3.6	257	476	35	200	30	21	6	5297	4819	5	10			
