Manual	Chip	FamilyUsersGuide	VccPgmMin	VccPgmMax	fFtgMin	fFtgMax	tWord	tBlock0	tBlockI	tBlockN	tMassErase	tSegErase	fTck2_2V	fTck3V	fSbw	fSbwEn	fSbwRet
SLAS734G	MSP430G2303	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS734G	MSP430G2333	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS734G	MSP430G2403	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS734G	MSP430G2433	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS734G	MSP430G2533	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2153	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2213	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2253	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2313	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2353	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2413	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2453	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2513	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS735J	MSP430G2553	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS753E	MSP430G2210	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819			20	1	15
SLAS753E	MSP430G2230	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819			20	1	15
SLAS800	MSP430G2755	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS800	MSP430G2855	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS800	MSP430G2955	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS887C	MSP430I2020	SLAU335	2.2	3.6	257	476	25	20	11	6	10593	9628		10	20	1	15
SLAS887C	MSP430I2021	SLAU335	2.2	3.6	257	476	25	20	11	6	10593	9628		10	20	1	15
SLAS887C	MSP430I2030	SLAU335	2.2	3.6	257	476	25	20	11	6	10593	9628		10	20	1	15
SLAS887C	MSP430I2031	SLAU335	2.2	3.6	257	476	25	20	11	6	10593	9628		10	20	1	15
SLAS887C	MSP430I2040	SLAU335	2.2	3.6	257	476	25	20	11	6	10593	9628		10	20	1	15
SLAS887C	MSP430I2041	SLAU335	2.2	3.6	257	476	25	20	11	6	10593	9628		10	20	1	15
SLAS892C	MSP430G2444	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS892C	MSP430G2544	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS892C	MSP430G2744	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
SLAS895	MSP430TCH5E	SLAU144	2.2	3.6	257	476	30	25	18	6	10593	4819	5		20	1	15
